maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,domhandrelocx,domhandrelocy,domhandrelocz,domhandrelocax,domhandrelocay,domhandrelocaz,domhandrelocsx,domhandrelocsy,domhandrelocsz,domhandrotx,domhandroty,domhandrotz,ndomhandrelocx,ndomhandrelocy,ndomhandrelocz,ndomhandrelocax,ndomhandrelocay,ndomhandrelocaz,ndomhandrelocsx,ndomhandrelocsy,ndomhandrelocsz,ndomhandrotx,ndomhandroty,ndomhandrotz,torsorelocx,torsorelocy,torsorelocz,torsorelocax,torsorelocay,torsorelocaz
DORTHIN,0,0,0.36281,0.0,,,0,0,0,0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0
ERFURT,0,0,0.2545,0.36431,,,0,0,0,0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0
INDEX,0,0,0.2,0.5,,,0,0,0,0,-1.059453480832897,1.0766749107594635,1,1,1,0.0,-1.059453480832897,1.0766749107594635,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-1.059453480832897,1.0766749107594635
ANKOMMEN,0,0,0.22804,0.42861,,,0,0,0,0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0
ZEIT,0,0,0.25061,0.42765,,,0,0,0,0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0
PLANEN,0,0,0.3833,0.30814,,,0,0,0,0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0
uhr:8,0,0,0.31404,0.31507,,,0,0,0,0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0
num:4,0,0,0.16145,0.23535,,,0,0,0,0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0
num:20,0,0,0.60966,0.23841,,,0,0,0,0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0
